img_path,class,width,height,format,mode,is_corrupt
C:\Users\bavag\Documents\Leaf dises datasets\Data\Bacterial leaf blight,Bacterial leaf blight,3081,897,JPEG,RGB,False
C:\Users\bavag\Documents\Leaf dises datasets\Data\Bacterial leaf blight,Bacterial leaf blight,3081,897,JPEG,RGB,False
C:\Users\bavag\Documents\Leaf dises datasets\Data\Bacterial leaf blight,Bacterial leaf blight,3081,897,JPEG,RGB,False
C:\Users\bavag\Documents\Leaf dises datasets\Data\Bacterial leaf blight,Bacterial leaf blight,3081,897,JPEG,RGB,False
C:\Users\bavag\Documents\Leaf dises datasets\Data\Bacterial leaf blight,Bacterial leaf blight,3081,897,JPEG,RGB,False
C:\Users\bavag\Documents\Leaf dises datasets\Data\Bacterial leaf blight,Bacterial leaf blight,3081,897,JPEG,RGB,False
C:\Users\bavag\Documents\Leaf dises datasets\Data\Bacterial leaf blight,Bacterial leaf blight,3081,897,JPEG,RGB,False
C:\Users\bavag\Documents\Leaf dises datasets\Data\Bacterial leaf blight,Bacterial leaf blight,3081,897,JPEG,RGB,False
C:\Users\bavag\Documents\Leaf dises datasets\Data\Bacterial leaf blight,Bacterial leaf blight,3081,897,JPEG,RGB,False
C:\Users\bavag\Documents\Leaf dises datasets\Data\Bacterial leaf blight,Bacterial leaf blight,3081,897,JPEG,RGB,False
C:\Users\bavag\Documents\Leaf dises datasets\Data\Bacterial leaf blight,Bacterial leaf blight,3081,897,JPEG,RGB,False
C:\Users\bavag\Documents\Leaf dises datasets\Data\Bacterial leaf blight,Bacterial leaf blight,3081,897,JPEG,RGB,False
C:\Users\bavag\Documents\Leaf dises datasets\Data\Bacterial leaf blight,Bacterial leaf blight,3081,897,JPEG,RGB,False
C:\Users\bavag\Documents\Leaf dises datasets\Data\Bacterial leaf blight,Bacterial leaf blight,3081,897,JPEG,RGB,False
C:\Users\bavag\Documents\Leaf dises datasets\Data\Bacterial leaf blight,Bacterial leaf blight,3081,897,JPEG,RGB,False
C:\Users\bavag\Documents\Leaf dises datasets\Data\Bacterial leaf blight,Bacterial leaf blight,3081,897,JPEG,RGB,False
C:\Users\bavag\Documents\Leaf dises datasets\Data\Bacterial leaf blight,Bacterial leaf blight,3081,897,JPEG,RGB,False
C:\Users\bavag\Documents\Leaf dises datasets\Data\Bacterial leaf blight,Bacterial leaf blight,3081,897,JPEG,RGB,False
C:\Users\bavag\Documents\Leaf dises datasets\Data\Bacterial leaf blight,Bacterial leaf blight,3081,897,JPEG,RGB,False
C:\Users\bavag\Documents\Leaf dises datasets\Data\Bacterial leaf blight,Bacterial leaf blight,3081,897,JPEG,RGB,False
C:\Users\bavag\Documents\Leaf dises datasets\Data\Bacterial leaf blight,Bacterial leaf blight,3081,897,JPEG,RGB,False
C:\Users\bavag\Documents\Leaf dises datasets\Data\Bacterial leaf blight,Bacterial leaf blight,3081,897,JPEG,RGB,False
C:\Users\bavag\Documents\Leaf dises datasets\Data\Brown spot,Brown spot,766,250,JPEG,RGB,False
C:\Users\bavag\Documents\Leaf dises datasets\Data\Brown spot,Brown spot,617,244,JPEG,RGB,False
C:\Users\bavag\Documents\Leaf dises datasets\Data\Brown spot,Brown spot,1530,371,JPEG,RGB,False
C:\Users\bavag\Documents\Leaf dises datasets\Data\Brown spot,Brown spot,1480,279,JPEG,RGB,False
C:\Users\bavag\Documents\Leaf dises datasets\Data\Brown spot,Brown spot,1504,323,JPEG,RGB,False
C:\Users\bavag\Documents\Leaf dises datasets\Data\Brown spot,Brown spot,765,224,JPEG,RGB,False
C:\Users\bavag\Documents\Leaf dises datasets\Data\Brown spot,Brown spot,763,268,JPEG,RGB,False
C:\Users\bavag\Documents\Leaf dises datasets\Data\Brown spot,Brown spot,699,197,JPEG,RGB,False
C:\Users\bavag\Documents\Leaf dises datasets\Data\Brown spot,Brown spot,456,124,JPEG,RGB,False
C:\Users\bavag\Documents\Leaf dises datasets\Data\Brown spot,Brown spot,316,127,JPEG,RGB,False
C:\Users\bavag\Documents\Leaf dises datasets\Data\Brown spot,Brown spot,427,193,JPEG,RGB,False
C:\Users\bavag\Documents\Leaf dises datasets\Data\Brown spot,Brown spot,768,514,JPEG,RGB,False
C:\Users\bavag\Documents\Leaf dises datasets\Data\Brown spot,Brown spot,296,88,JPEG,RGB,False
C:\Users\bavag\Documents\Leaf dises datasets\Data\Brown spot,Brown spot,286,92,JPEG,RGB,False
C:\Users\bavag\Documents\Leaf dises datasets\Data\Brown spot,Brown spot,340,94,JPEG,RGB,False
C:\Users\bavag\Documents\Leaf dises datasets\Data\Brown spot,Brown spot,467,104,JPEG,RGB,False
C:\Users\bavag\Documents\Leaf dises datasets\Data\Brown spot,Brown spot,359,168,JPEG,RGB,False
C:\Users\bavag\Documents\Leaf dises datasets\Data\Brown spot,Brown spot,311,170,JPEG,RGB,False
C:\Users\bavag\Documents\Leaf dises datasets\Data\Brown spot,Brown spot,1200,900,JPEG,RGB,False
C:\Users\bavag\Documents\Leaf dises datasets\Data\Brown spot,Brown spot,3081,897,JPEG,RGB,False
C:\Users\bavag\Documents\Leaf dises datasets\Data\Brown spot,Brown spot,3081,897,JPEG,RGB,False
C:\Users\bavag\Documents\Leaf dises datasets\Data\Brown spot,Brown spot,3081,897,JPEG,RGB,False
C:\Users\bavag\Documents\Leaf dises datasets\Data\Brown spot,Brown spot,3081,897,JPEG,RGB,False
C:\Users\bavag\Documents\Leaf dises datasets\Data\Brown spot,Brown spot,3081,897,JPEG,RGB,False
C:\Users\bavag\Documents\Leaf dises datasets\Data\Brown spot,Brown spot,3081,897,JPEG,RGB,False
C:\Users\bavag\Documents\Leaf dises datasets\Data\Brown spot,Brown spot,3081,897,JPEG,RGB,False
C:\Users\bavag\Documents\Leaf dises datasets\Data\Brown spot,Brown spot,3081,897,JPEG,RGB,False
C:\Users\bavag\Documents\Leaf dises datasets\Data\Brown spot,Brown spot,3081,897,JPEG,RGB,False
C:\Users\bavag\Documents\Leaf dises datasets\Data\Brown spot,Brown spot,3081,897,JPEG,RGB,False
C:\Users\bavag\Documents\Leaf dises datasets\Data\Brown spot,Brown spot,3081,897,JPEG,RGB,False
C:\Users\bavag\Documents\Leaf dises datasets\Data\Brown spot,Brown spot,3081,897,JPEG,RGB,False
C:\Users\bavag\Documents\Leaf dises datasets\Data\Brown spot,Brown spot,3081,897,JPEG,RGB,False
C:\Users\bavag\Documents\Leaf dises datasets\Data\Brown spot,Brown spot,3081,897,JPEG,RGB,False
C:\Users\bavag\Documents\Leaf dises datasets\Data\Brown spot,Brown spot,3081,897,JPEG,RGB,False
C:\Users\bavag\Documents\Leaf dises datasets\Data\Brown spot,Brown spot,3081,897,JPEG,RGB,False
C:\Users\bavag\Documents\Leaf dises datasets\Data\Brown spot,Brown spot,3081,897,JPEG,RGB,False
C:\Users\bavag\Documents\Leaf dises datasets\Data\Brown spot,Brown spot,3081,897,JPEG,RGB,False
C:\Users\bavag\Documents\Leaf dises datasets\Data\Brown spot,Brown spot,3081,897,JPEG,RGB,False
C:\Users\bavag\Documents\Leaf dises datasets\Data\Brown spot,Brown spot,3081,897,JPEG,RGB,False
C:\Users\bavag\Documents\Leaf dises datasets\Data\Brown spot,Brown spot,3081,897,JPEG,RGB,False
C:\Users\bavag\Documents\Leaf dises datasets\Data\Leaf smut,Leaf smut,3081,897,JPEG,RGB,False
C:\Users\bavag\Documents\Leaf dises datasets\Data\Leaf smut,Leaf smut,3081,897,JPEG,RGB,False
C:\Users\bavag\Documents\Leaf dises datasets\Data\Leaf smut,Leaf smut,3081,897,JPEG,RGB,False
C:\Users\bavag\Documents\Leaf dises datasets\Data\Leaf smut,Leaf smut,3081,897,JPEG,RGB,False
C:\Users\bavag\Documents\Leaf dises datasets\Data\Leaf smut,Leaf smut,3081,897,JPEG,RGB,False
C:\Users\bavag\Documents\Leaf dises datasets\Data\Leaf smut,Leaf smut,3081,897,JPEG,RGB,False
C:\Users\bavag\Documents\Leaf dises datasets\Data\Leaf smut,Leaf smut,3081,897,JPEG,RGB,False
C:\Users\bavag\Documents\Leaf dises datasets\Data\Leaf smut,Leaf smut,3081,897,JPEG,RGB,False
C:\Users\bavag\Documents\Leaf dises datasets\Data\Leaf smut,Leaf smut,3081,897,JPEG,RGB,False
C:\Users\bavag\Documents\Leaf dises datasets\Data\Leaf smut,Leaf smut,3081,897,JPEG,RGB,False
C:\Users\bavag\Documents\Leaf dises datasets\Data\Leaf smut,Leaf smut,3081,897,JPEG,RGB,False
C:\Users\bavag\Documents\Leaf dises datasets\Data\Leaf smut,Leaf smut,3081,897,JPEG,RGB,False
C:\Users\bavag\Documents\Leaf dises datasets\Data\Leaf smut,Leaf smut,3081,897,JPEG,RGB,False
C:\Users\bavag\Documents\Leaf dises datasets\Data\Leaf smut,Leaf smut,3081,897,JPEG,RGB,False
C:\Users\bavag\Documents\Leaf dises datasets\Data\Leaf smut,Leaf smut,3081,897,JPEG,RGB,False
C:\Users\bavag\Documents\Leaf dises datasets\Data\Leaf smut,Leaf smut,3081,897,JPEG,RGB,False
C:\Users\bavag\Documents\Leaf dises datasets\Data\Leaf smut,Leaf smut,3081,897,JPEG,RGB,False
C:\Users\bavag\Documents\Leaf dises datasets\Data\Leaf smut,Leaf smut,3081,897,JPEG,RGB,False
C:\Users\bavag\Documents\Leaf dises datasets\Data\Leaf smut,Leaf smut,3081,897,JPEG,RGB,False
C:\Users\bavag\Documents\Leaf dises datasets\Data\Leaf smut,Leaf smut,3081,897,JPEG,RGB,False
C:\Users\bavag\Documents\Leaf dises datasets\Data\Leaf smut,Leaf smut,3081,897,JPEG,RGB,False
C:\Users\bavag\Documents\Leaf dises datasets\Data\Leaf smut,Leaf smut,3081,897,JPEG,RGB,False
C:\Users\bavag\Documents\Leaf dises datasets\Data\Leaf smut,Leaf smut,3081,897,JPEG,RGB,False
C:\Users\bavag\Documents\Leaf dises datasets\Data\Leaf smut,Leaf smut,376,80,JPEG,RGB,False
C:\Users\bavag\Documents\Leaf dises datasets\Data\Leaf smut,Leaf smut,367,73,JPEG,RGB,False
C:\Users\bavag\Documents\Leaf dises datasets\Data\Leaf smut,Leaf smut,301,71,JPEG,RGB,False
C:\Users\bavag\Documents\Leaf dises datasets\Data\Leaf smut,Leaf smut,614,409,JPEG,RGB,False
C:\Users\bavag\Documents\Leaf dises datasets\Data\Leaf smut,Leaf smut,250,200,JPEG,RGB,False
C:\Users\bavag\Documents\Leaf dises datasets\Data\Leaf smut,Leaf smut,946,255,JPEG,RGB,False
C:\Users\bavag\Documents\Leaf dises datasets\Data\Leaf smut,Leaf smut,948,233,JPEG,RGB,False
C:\Users\bavag\Documents\Leaf dises datasets\Data\Leaf smut,Leaf smut,948,211,JPEG,RGB,False
C:\Users\bavag\Documents\Leaf dises datasets\Data\Leaf smut,Leaf smut,3081,897,JPEG,RGB,False
C:\Users\bavag\Documents\Leaf dises datasets\Data\Leaf smut,Leaf smut,537,216,JPEG,RGB,False
C:\Users\bavag\Documents\Leaf dises datasets\Data\Leaf smut,Leaf smut,503,174,JPEG,RGB,False
C:\Users\bavag\Documents\Leaf dises datasets\Data\Leaf smut,Leaf smut,250,200,JPEG,RGB,False
C:\Users\bavag\Documents\Leaf dises datasets\Data\Leaf smut,Leaf smut,510,383,JPEG,RGB,False
C:\Users\bavag\Documents\Leaf dises datasets\Data\Leaf smut,Leaf smut,565,233,JPEG,RGB,False
C:\Users\bavag\Documents\Leaf dises datasets\Data\Leaf smut,Leaf smut,562,217,JPEG,RGB,False
C:\Users\bavag\Documents\Leaf dises datasets\Data\Leaf smut,Leaf smut,741,291,JPEG,RGB,False
